salesperson_key,employee_code,salesperson_name,region_key
1,REP-001,Ava Garcia,1
2,REP-002,Noah Miller,2
3,REP-003,Mia Nguyen,3
4,REP-004,Liam Smith,4
5,REP-005,Olivia Khan,1
6,REP-006,Ethan Wilson,2
7,REP-007,Emma Chen,3
8,REP-008,Arjun Silva,4
9,REP-009,Sofia Patel,1
10,REP-010,Mateo Kim,2
11,REP-011,Ava Garcia,3
12,REP-012,Noah Miller,4
13,REP-013,Mia Nguyen,1
14,REP-014,Liam Smith,2
15,REP-015,Olivia Khan,3
16,REP-016,Ethan Wilson,4
17,REP-017,Emma Chen,1
18,REP-018,Arjun Silva,2
19,REP-019,Sofia Patel,3
20,REP-020,Mateo Kim,4
21,REP-021,Ava Garcia,1
22,REP-022,Noah Miller,2
23,REP-023,Mia Nguyen,3
24,REP-024,Liam Smith,4
